model_name,model_parameters,lecture_title,lecture_topic,system_prompt_id,dialog_id,overall_rating,evaluation_notes
ollama/deepseek-r1-0528-qwen3-8b,8b,Обучение с подкреплением,"Понятие обучения до эпсилон-жадной стратегии( Базовые определения и постановка задачи, компромисс изучение-применение, постановка задачи о k-руком бандите, жадная стратегия)",1,1,5,на попытке сгенероровать задание зациклился
ollama/deepseek-r1-0528-qwen3-8b,8b,Обучение с подкреплением,"Понятие обучения до эпсилон-жадной стратегии( Базовые определения и постановка задачи, компромисс изучение-применение, постановка задачи о k-руком бандите, жадная стратегия)",2,2,7,"Чем длинее диалог, тем бессмысленее ответы сети, но на первые три вопроса отвечал хорошо"
lmstudio/deepseek-r1-0528-qwen3-8b,8b,Энтропия,"Введение, Энтропия (Немного о степени неопределенности, Энтропия Шеннона и проверка ожидаемых свойств)",3,3,6,"на коротких диалогах модель ведет себя хорошо, но если диалог затягивается -- начинаются проблемы со связностью речи"
gpt-oss-20b,20b,Ансамбли моделей,"Наводящие размышления, Повторные выборки(Ресемплинг) до Бутстрэпа (Джекнайф)",4,4,9,"Отвечает хорошо , четко, единственное что не нравится -- не всегда верно форматирует в Латекс"
gpt-oss-20b,20b,Ансамбли моделей,Ресемплинг от Бутстрэп (сам Бутстрэп),5,5,8,"Отвечал хорошо, только давал материал, которого не было в лекции, но этот материал был правильно подобран к теме вопроса и как бы расширял уже имеющийся в лекции"
gpt-oss-20b,20b,Ансамбли моделей,"Ансамбли моделей до адаптивного бустинга (Общее понятие ансамбля, Бэггинг)",6,6,10,"Отвечал хорошо, в этот разничего не вставлял от себя"
gpt-oss-20b,20b,Ансамбли моделей,"Ансамбли моделей от адаптивного бустинга (adaboost, стекинг, случайный лес)",7,7,10,"Отвечал хорошо, от себя не добавлял ничего"
qwen/qwen3-vl-4b,4b,Ансамбли моделей,"Многоклассовая классификация (один против все, все против всех)",8,8,8,"Отвечал хорошо,
но под конец длинных ответов речь иногда становилась не правильной. Форматирование ответов чуть лучще чем у gpt-oss"
qwen/qwen3-vl-4b,4b,Обучение с подкреплением,"Понятие обучения до эпсилон-жадной стратегии( Базовые определения и постановка задачи, компромисс изучение-применение, постановка задачи о k-руком бандите, жадная стратегия)",9,9,9,"отвечает хорошо и подробно, от себя ничего не добавляет, в речи не запинался"
qwen/qwen3-vl-4b,4b,Обучение с подкреплением,"Понятие обучения от эпсилон-жадной стратегии (эпсилон-жадная стратегия, softmax-стратегия, метод UCB, оптимистичные начальные оценки)",10,10,9,отвечал хорошо четко но выдал определение из прошлой лекции
meta-llama-3-8b-instruct,8b,-,-,-,-,0,Слишком маленькое контекстное окно. Его не хватило на обработку запроса с лекцией целиком
qwen/qwen3-vl-8b,8b,Обучение с подкреплением,"Общая постановка задачи до оценки стратегий (Взаимосвязь агента и окружающей среды, функции ценности действий и состояний, пример)",11,11,10,"отвечал правильно и хорошо, от себя ничего не добавлял, в отличие от версии 4b правильно отработал реплики прощания"
qwen/qwen3-vl-8b,8b,Обучение с подкреплением,"Общая постановка задачи (Оценка стратегий, Оптимальные стратегии)",12,12,5,"на свои же вопросы сам и отвечал, при этом время генерации ужасно большое"
gpt-oss-20b,20b, Энтропия. Деревья принятия решений, "Введение и энтропия",13,13,9,"Отвечает хорошо, точно, следует инструкциям. Тяжелый контекст из-за повторяющихся инструкций"
gpt-oss-20b,20b,Энтропия. Деревья принятия решений, "Условная энтропия",14,14,10,"При ответе на вопрос вне фрагмента указала это согласно сценарию"
deepseek-r1-0528-qwen3-8b,8b,Ансамбли моделей, "Ансамбли моделей (Бэггинг)",15,15,2,"Сломалась после приветствия"
meta-llama-3.1-8b-instruct,Ансамбли моделей,"Adaboost, стекинг, случайный лес",16,16,6,"В рамках фрагмента отвечал относительно верно, игнорировала инструкции"
qwen/qwen3-v1-8b,8b,Ансамбли моделей,"Многоклассовая классификация",17,17,7,"Потерялся в режимах, объяснял теорию и давал задачи одновременно, работал медленее gpt-oss"
